@RELATION 'downloader data'

@ATTRIBUTE 'timeOnMarket' 'REAL'
@ATTRIBUTE 'notePrice' 'REAL'
@ATTRIBUTE 'loanGrade' {'A', 'B', 'C', 'D', 'E', 'F', 'G'}
@ATTRIBUTE 'noteStatus' {'B', 'NB', 'NBY', 'C'}

@DATA
148.960118451,16.04,D,NBY
148.960118451,16.02,D,NBY
148.960118451,16.01,D,NBY
148.960118451,15.99,D,NBY
148.960118451,15.97,D,NBY
148.960118451,15.96,D,NBY
148.960118451,15.94,D,NBY
148.960118451,15.93,D,NBY
148.960118451,15.91,D,NBY
148.960118451,15.89,D,NBY
148.960118451,15.89,D,NBY
148.960118451,15.85,D,NBY
148.960118451,15.83,D,NBY
148.960118451,15.82,D,NBY
148.960118451,15.8,D,NBY
148.960118451,15.78,D,NBY
148.960118451,15.76,D,NBY
148.960118451,15.74,D,NBY
148.960118451,15.72,D,NBY
148.960118451,15.72,D,NBY
148.960118451,15.69,D,NBY
148.960118451,15.67,D,NBY
148.960118451,15.65,D,NBY
148.960118451,15.64,D,NBY
148.960118451,15.62,D,NBY
148.960118451,15.61,D,NBY
148.960118451,15.58,D,NBY
148.960118451,15.57,D,NBY
148.960118451,15.55,D,NBY
148.960118451,15.53,D,NBY
148.960118451,15.51,D,NBY
148.960118451,15.5,D,NBY
148.960118451,15.48,D,NBY
148.960118451,15.48,D,NBY
148.960118451,15.43,D,NBY
148.960118451,15.41,D,NBY
148.960118451,15.39,D,NBY
148.960118451,15.38,D,NBY
148.960118451,15.35,D,NBY
148.960118451,15.34,D,NBY
148.960118451,15.33,D,NBY
148.960118451,15.31,D,NBY
148.960118451,15.29,D,NBY
148.960118451,15.27,D,NBY
148.960118451,15.26,D,NBY
148.960118451,15.24,D,NBY
148.960118451,15.21,D,NBY
148.960118451,15.2,D,NBY
148.960118451,15.18,D,NBY
148.960118451,15.16,D,NBY
148.960118451,15.15,D,NBY
148.960118451,15.13,D,NBY
148.960118451,15.11,D,NBY
148.960118451,15.09,D,NBY
148.960118451,15.07,D,NBY
148.960118451,15.05,D,NBY
148.960118451,15.04,D,NBY
148.960118451,15.04,D,NBY
148.960118451,15.01,D,NBY
148.960118451,14.99,D,NBY
148.960118451,14.98,D,NBY
148.960118451,14.96,D,NBY
148.960118451,14.94,D,NBY
148.960118451,14.92,D,NBY
148.960118451,14.9,D,NBY
148.960118451,14.89,D,NBY
148.960118451,14.86,D,B
6.00145977305,23.48,B,NBY
6.00145977305,23.48,B,B
4.94224451694,22.66,B,NBY
4.94224451694,22.66,B,B
4.94224451694,18.26,B,NBY
4.94224451694,18.26,B,B
4.94224451694,20.89,B,NBY
4.94224451694,20.89,B,B
4.94224451694,22.05,B,NBY
4.94224451694,22.05,B,B
4.94224451694,22.05,B,NBY
4.94224451694,22.05,B,B
4.94224451694,20.81,B,NBY
4.94224451694,20.81,B,B
4.94224451694,21.6,B,NBY
4.94224451694,21.6,B,B
3.99516791417,19.84,B,NBY
3.99516791417,19.84,B,B
4.94224451694,36.24,A,NBY
4.94224451694,36.24,A,B
4.94224451694,20.18,B,NBY
4.94224451694,20.18,B,B
3.99516791417,21.49,B,NBY
3.99516791417,21.49,B,B
3.99516791417,17.11,D,NBY
3.99516791417,17.11,D,B
3.99516791417,17.57,E,NBY
3.99516791417,17.57,E,B
3.99516791417,23.15,B,NBY
3.99516791417,23.15,B,B
2.00025264084,20.13,A,NBY
2.00025264084,20.13,A,B
2.00025264084,20.11,A,NBY
2.00025264084,20.11,A,B
2.00025264084,20.09,A,NBY
2.00025264084,20.09,A,B
2.00025264084,22.35,A,NBY
2.00025264084,22.35,A,B
2.00025264084,22.85,C,NBY
2.00025264084,22.85,C,B
2.00025264084,20.12,A,NBY
2.00025264084,20.12,A,B
2.00025264084,21.56,D,NBY
2.00025264084,21.56,D,B
2.00025264084,20.06,A,NBY
2.00025264084,20.06,A,B
2.00025264084,20.12,A,NBY
2.00025264084,20.12,A,B
2.00025264084,21.05,B,NBY
2.00025264084,21.05,B,B
0.955014518301,4.1,B,NBY
0.955014518301,4.1,B,B
0.0,13.11,B,C
0.955014518301,2.96,B,NBY
0.955014518301,2.96,B,B
0.955014518301,3.04,C,NBY
0.955014518301,3.04,C,B
%
%
%
